pinyin,tone,server_name,filename,url,status,size,http_status
chuo,4,chuo,chuo4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuo4.mp3,downloaded,16926,200
ci,1,ci,ci1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ci1.mp3,downloaded,22568,200
ci,2,ci,ci2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ci2.mp3,downloaded,16926,200
ci,3,ci,ci3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ci3.mp3,downloaded,20061,200
ci,4,ci,ci4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ci4.mp3,downloaded,14418,200
cong,1,cong,cong1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cong1.mp3,downloaded,23822,200
cong,2,cong,cong2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cong2.mp3,downloaded,16926,200
cong,3,cong,cong3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cong3.mp3,downloaded,21941,200
cong,4,cong,cong4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cong4.mp3,downloaded,16926,200
cou,1,cou,cou1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cou1.mp3,downloaded,21315,200
cou,2,cou,cou2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cou2.mp3,downloaded,18180,200
cou,3,cou,cou3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cou3.mp3,downloaded,23195,200
